<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
HALS,D,30/03/16,000000,1.680.0000000,1.680.0000000,1.600.0000000,1.625.0000000,18
HALS,D,31/03/16,000000,1.625.0000000,1.675.0000000,1.600.0000000,1.675.0000000,37
HALS,D,01/04/16,000000,1.610.0000000,1.635.0000000,1.575.0000000,1.605.0000000,23
HALS,D,04/04/16,000000,1.640.0000000,1.640.0000000,1.640.0000000,1.640.0000000,1
HALS,D,05/04/16,000000,1.600.0000000,1.600.0000000,1.545.0000000,1.575.0000000,51
HALS,D,06/04/16,000000,1.530.0000000,1.545.0000000,1.500.0000000,1.505.0000000,61
HALS,D,07/04/16,000000,1.525.0000000,1.525.0000000,1.505.0000000,1.510.0000000,5
HALS,D,08/04/16,000000,1.505.0000000,1.510.0000000,1.500.0000000,1.510.0000000,6
HALS,D,11/04/16,000000,1.500.0000000,1.520.0000000,1.495.0000000,1.500.0000000,44
HALS,D,12/04/16,000000,1.500.0000000,1.510.0000000,1.500.0000000,1.505.0000000,5
HALS,D,13/04/16,000000,1.505.0000000,1.505.0000000,1.480.0000000,1.490.0000000,118
HALS,D,14/04/16,000000,1.485.0000000,1.485.0000000,1.470.0000000,1.470.0000000,15
HALS,D,15/04/16,000000,1.475.0000000,1.485.0000000,1.465.0000000,1.465.0000000,39
HALS,D,18/04/16,000000,1.465.0000000,1.470.0000000,1.465.0000000,1.470.0000000,7
HALS,D,19/04/16,000000,1.465.0000000,1.485.0000000,1.455.0000000,1.485.0000000,30
HALS,D,20/04/16,000000,1.470.0000000,1.485.0000000,1.470.0000000,1.485.0000000,4
HALS,D,21/04/16,000000,1.495.0000000,1.530.0000000,1.495.0000000,1.510.0000000,23
HALS,D,22/04/16,000000,1.525.0000000,1.535.0000000,1.510.0000000,1.525.0000000,8
HALS,D,25/04/16,000000,1.485.0000000,1.520.0000000,1.485.0000000,1.520.0000000,18
HALS,D,27/04/16,000000,1.510.0000000,1.510.0000000,1.510.0000000,1.510.0000000,3
HALS,D,29/04/16,000000,1.505.0000000,1.505.0000000,1.480.0000000,1.490.0000000,42
HALS,D,04/05/16,000000,1.485.0000000,1.485.0000000,1.485.0000000,1.485.0000000,2
HALS,D,10/05/16,000000,1.470.0000000,1.480.0000000,1.450.0000000,1.480.0000000,9
HALS,D,11/05/16,000000,1.480.0000000,1.485.0000000,1.480.0000000,1.480.0000000,21
HALS,D,16/05/16,000000,1.455.0000000,1.470.0000000,1.450.0000000,1.470.0000000,5
HALS,D,17/05/16,000000,1.455.0000000,1.465.0000000,1.415.0000000,1.465.0000000,37
HALS,D,18/05/16,000000,1.410.0000000,1.450.0000000,1.235.0000000,1.450.0000000,37
HALS,D,19/05/16,000000,1.375.0000000,1.375.0000000,1.220.0000000,1.255.0000000,408
HALS,D,20/05/16,000000,1.260.0000000,1.300.0000000,1.235.0000000,1.260.0000000,69
HALS,D,23/05/16,000000,1.230.0000000,1.295.0000000,1.230.0000000,1.295.0000000,14
HALS,D,24/05/16,000000,1.300.0000000,1.300.0000000,1.240.0000000,1.260.0000000,30
HALS,D,25/05/16,000000,1.300.0000000,1.300.0000000,1.260.0000000,1.295.0000000,41
HALS,D,27/05/16,000000,1.290.0000000,1.290.0000000,1.245.0000000,1.280.0000000,23
HALS,D,30/05/16,000000,1.260.0000000,1.260.0000000,1.235.0000000,1.260.0000000,39
HALS,D,31/05/16,000000,1.245.0000000,1.255.0000000,1.245.0000000,1.245.0000000,10
HALS,D,01/06/16,000000,1.300.0000000,1.300.0000000,1.260.0000000,1.270.0000000,16
HALS,D,02/06/16,000000,1.270.0000000,1.295.0000000,1.270.0000000,1.280.0000000,42
HALS,D,03/06/16,000000,1.280.0000000,1.355.0000000,1.230.0000000,1.350.0000000,87
HALS,D,06/06/16,000000,1.320.0000000,1.490.0000000,1.320.0000000,1.425.0000000,152
HALS,D,07/06/16,000000,1.475.0000000,1.495.0000000,1.390.0000000,1.475.0000000,26
HALS,D,10/06/16,000000,1.410.0000000,1.415.0000000,1.405.0000000,1.410.0000000,57
HALS,D,14/06/16,000000,1.465.0000000,1.465.0000000,1.465.0000000,1.465.0000000,1
HALS,D,16/06/16,000000,1.410.0000000,1.435.0000000,1.400.0000000,1.435.0000000,136
HALS,D,17/06/16,000000,1.445.0000000,1.445.0000000,1.410.0000000,1.440.0000000,3
HALS,D,20/06/16,000000,1.415.0000000,1.430.0000000,1.415.0000000,1.430.0000000,2
HALS,D,23/06/16,000000,1.405.0000000,1.410.0000000,1.340.0000000,1.410.0000000,56
HALS,D,24/06/16,000000,1.385.0000000,1.415.0000000,1.300.0000000,1.415.0000000,26
HALS,D,27/06/16,000000,1.320.0000000,1.445.0000000,1.300.0000000,1.445.0000000,49
