<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GRNT,D,18/07/16,000000,0.7650000,0.8150000,0.7000000,0.7600000,8.881.000
GRNT,D,19/07/16,000000,0.7500000,0.9300000,0.7150000,0.8500000,8.974.000
GRNT,D,20/07/16,000000,0.8450000,1.1750000,0.8150000,1.0700000,30.179.000
GRNT,D,21/07/16,000000,1.0650000,1.2200000,1.0000000,1.1000000,19.000.000
GRNT,D,22/07/16,000000,1.0850000,1.3000000,1.0450000,1.0950000,28.065.000
GRNT,D,25/07/16,000000,1.1000000,1.1050000,1.0000000,1.0300000,4.367.000
GRNT,D,26/07/16,000000,1.0150000,1.1450000,0.8500000,1.0700000,17.356.000
GRNT,D,27/07/16,000000,1.0850000,1.1300000,0.9900000,1.0000000,32.611.000
GRNT,D,28/07/16,000000,1.0000000,1.0100000,0.9050000,0.9350000,5.743.000
GRNT,D,29/07/16,000000,0.9300000,1.2100000,0.9050000,1.0100000,23.400.000
GRNT,D,01/08/16,000000,1.0250000,1.2950000,0.9950000,1.1750000,9.789.000
GRNT,D,02/08/16,000000,1.1950000,1.3650000,1.1550000,1.1750000,15.553.000
GRNT,D,03/08/16,000000,1.1850000,1.2050000,1.1000000,1.1700000,3.410.000
GRNT,D,04/08/16,000000,1.1750000,1.2000000,1.1150000,1.2000000,6.526.000
GRNT,D,05/08/16,000000,1.2050000,1.2600000,1.1650000,1.2300000,2.627.000
GRNT,D,08/08/16,000000,1.2650000,1.3250000,1.1200000,1.2750000,4.553.000
GRNT,D,09/08/16,000000,1.2950000,1.3100000,1.2150000,1.2850000,1.531.000
GRNT,D,10/08/16,000000,1.3000000,1.3200000,1.2500000,1.2750000,1.130.000
GRNT,D,11/08/16,000000,1.2800000,1.4250000,1.2500000,1.2950000,14.287.000
GRNT,D,12/08/16,000000,1.2900000,1.3850000,1.0950000,1.1600000,17.363.000
GRNT,D,15/08/16,000000,1.1750000,1.2250000,1.1300000,1.1950000,3.920.000
GRNT,D,16/08/16,000000,1.1900000,1.1900000,1.0950000,1.1000000,6.347.000
GRNT,D,17/08/16,000000,1.1100000,1.1450000,1.0000000,1.0950000,11.139.000
