<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GMKN,D,01/04/16,000000,8.640.0000000,8.650.0000000,8.396.0000000,8.460.0000000,462.544
GMKN,D,04/04/16,000000,8.453.0000000,8.541.0000000,8.330.0000000,8.459.0000000,402.406
GMKN,D,05/04/16,000000,8.472.0000000,8.719.0000000,8.451.0000000,8.700.0000000,434.876
GMKN,D,06/04/16,000000,8.740.0000000,8.843.0000000,8.718.0000000,8.799.0000000,356.405
GMKN,D,07/04/16,000000,8.821.0000000,8.849.0000000,8.605.0000000,8.688.0000000,282.494
GMKN,D,08/04/16,000000,8.687.0000000,8.700.0000000,8.550.0000000,8.629.0000000,219.029
GMKN,D,11/04/16,000000,8.616.0000000,8.788.0000000,8.582.0000000,8.783.0000000,256.178
GMKN,D,12/04/16,000000,8.790.0000000,8.840.0000000,8.652.0000000,8.730.0000000,284.697
GMKN,D,13/04/16,000000,8.752.0000000,9.183.0000000,8.751.0000000,9.121.0000000,664.594
GMKN,D,14/04/16,000000,9.121.0000000,9.240.0000000,9.107.0000000,9.150.0000000,418.580
GMKN,D,15/04/16,000000,9.134.0000000,9.190.0000000,9.000.0000000,9.120.0000000,207.280
GMKN,D,18/04/16,000000,8.999.0000000,9.270.0000000,8.991.0000000,9.270.0000000,295.719
GMKN,D,19/04/16,000000,9.260.0000000,9.330.0000000,9.151.0000000,9.241.0000000,266.293
GMKN,D,20/04/16,000000,9.195.0000000,9.364.0000000,9.156.0000000,9.259.0000000,335.659
GMKN,D,21/04/16,000000,9.308.0000000,9.378.0000000,9.210.0000000,9.368.0000000,355.159
GMKN,D,22/04/16,000000,9.355.0000000,9.750.0000000,9.336.0000000,9.750.0000000,640.514
GMKN,D,25/04/16,000000,9.741.0000000,9.776.0000000,9.583.0000000,9.631.0000000,253.410
GMKN,D,26/04/16,000000,9.618.0000000,9.750.0000000,9.590.0000000,9.750.0000000,201.906
GMKN,D,27/04/16,000000,9.740.0000000,9.841.0000000,9.605.0000000,9.700.0000000,192.824
GMKN,D,28/04/16,000000,9.649.0000000,9.709.0000000,9.411.0000000,9.709.0000000,338.822
GMKN,D,29/04/16,000000,9.693.0000000,9.693.0000000,9.326.0000000,9.409.0000000,247.338
GMKN,D,04/05/16,000000,9.351.0000000,9.479.0000000,9.010.0000000,9.100.0000000,302.121
GMKN,D,05/05/16,000000,9.075.0000000,9.075.0000000,8.809.0000000,8.809.0000000,315.631
GMKN,D,06/05/16,000000,8.800.0000000,8.900.0000000,8.720.0000000,8.760.0000000,247.542
GMKN,D,10/05/16,000000,8.741.0000000,8.868.0000000,8.634.0000000,8.815.0000000,206.905
GMKN,D,11/05/16,000000,8.825.0000000,8.991.0000000,8.825.0000000,8.850.0000000,196.234
GMKN,D,12/05/16,000000,8.887.0000000,9.070.0000000,8.865.0000000,8.911.0000000,240.358
GMKN,D,13/05/16,000000,8.900.0000000,8.986.0000000,8.811.0000000,8.986.0000000,196.960
GMKN,D,16/05/16,000000,9.004.0000000,9.114.0000000,8.929.0000000,8.930.0000000,150.655
GMKN,D,17/05/16,000000,8.960.0000000,8.994.0000000,8.828.0000000,8.930.0000000,117.232
