<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LNZL,D,27/06/16,000000,8.880.0000000,8.880.0000000,8.740.0000000,8.740.0000000,41
LNZL,D,28/06/16,000000,8.740.0000000,8.870.0000000,8.740.0000000,8.750.0000000,29
LNZL,D,29/06/16,000000,8.700.0000000,8.700.0000000,7.120.0000000,7.480.0000000,1.773
LNZL,D,30/06/16,000000,7.500.0000000,7.540.0000000,6.980.0000000,7.180.0000000,1.030
LNZL,D,01/07/16,000000,7.280.0000000,7.300.0000000,7.000.0000000,7.040.0000000,310
LNZL,D,04/07/16,000000,7.010.0000000,7.030.0000000,6.900.0000000,7.020.0000000,289
LNZL,D,05/07/16,000000,7.000.0000000,7.280.0000000,6.960.0000000,7.220.0000000,288
LNZL,D,06/07/16,000000,7.250.0000000,7.890.0000000,7.250.0000000,7.790.0000000,934
LNZL,D,07/07/16,000000,7.700.0000000,7.760.0000000,7.600.0000000,7.700.0000000,236
LNZL,D,08/07/16,000000,7.440.0000000,8.460.0000000,5.900.0000000,7.460.0000000,792
LNZL,D,11/07/16,000000,7.650.0000000,7.900.0000000,7.510.0000000,7.700.0000000,137
LNZL,D,12/07/16,000000,7.710.0000000,7.860.0000000,7.540.0000000,7.600.0000000,118
LNZL,D,13/07/16,000000,7.520.0000000,7.600.0000000,7.420.0000000,7.450.0000000,43
LNZL,D,14/07/16,000000,7.470.0000000,7.470.0000000,7.050.0000000,7.200.0000000,191
LNZL,D,15/07/16,000000,7.210.0000000,7.240.0000000,6.500.0000000,7.130.0000000,269
LNZL,D,18/07/16,000000,7.100.0000000,7.120.0000000,7.000.0000000,7.050.0000000,110
LNZL,D,19/07/16,000000,7.000.0000000,7.210.0000000,7.000.0000000,7.200.0000000,103
LNZL,D,20/07/16,000000,7.300.0000000,7.300.0000000,7.140.0000000,7.150.0000000,181
LNZL,D,21/07/16,000000,7.100.0000000,7.290.0000000,7.100.0000000,7.290.0000000,31
LNZL,D,22/07/16,000000,7.290.0000000,7.330.0000000,7.220.0000000,7.300.0000000,11
LNZL,D,25/07/16,000000,7.400.0000000,7.400.0000000,7.000.0000000,7.290.0000000,275
LNZL,D,26/07/16,000000,7.200.0000000,7.400.0000000,7.200.0000000,7.350.0000000,261
LNZL,D,27/07/16,000000,7.340.0000000,7.410.0000000,7.330.0000000,7.410.0000000,40
LNZL,D,28/07/16,000000,7.400.0000000,7.500.0000000,7.390.0000000,7.400.0000000,135
LNZL,D,29/07/16,000000,7.510.0000000,7.640.0000000,7.330.0000000,7.410.0000000,203
LNZL,D,01/08/16,000000,7.490.0000000,7.580.0000000,7.430.0000000,7.540.0000000,87
LNZL,D,02/08/16,000000,7.660.0000000,7.700.0000000,7.550.0000000,7.620.0000000,184
LNZL,D,03/08/16,000000,7.630.0000000,7.900.0000000,7.630.0000000,7.880.0000000,277
LNZL,D,04/08/16,000000,7.970.0000000,8.080.0000000,7.670.0000000,7.940.0000000,375
LNZL,D,05/08/16,000000,7.810.0000000,8.010.0000000,7.810.0000000,7.990.0000000,47
LNZL,D,08/08/16,000000,8.000.0000000,8.090.0000000,7.860.0000000,7.980.0000000,148
LNZL,D,09/08/16,000000,7.990.0000000,8.040.0000000,7.800.0000000,7.950.0000000,175
LNZL,D,10/08/16,000000,7.780.0000000,7.930.0000000,7.760.0000000,7.920.0000000,213
LNZL,D,11/08/16,000000,7.940.0000000,8.200.0000000,7.860.0000000,8.200.0000000,411
LNZL,D,12/08/16,000000,8.070.0000000,9.170.0000000,8.020.0000000,9.000.0000000,852
LNZL,D,15/08/16,000000,8.830.0000000,10.480.0000000,8.810.0000000,10.270.0000000,1.927
LNZL,D,16/08/16,000000,10.250.0000000,10.500.0000000,8.660.0000000,10.400.0000000,932
LNZL,D,17/08/16,000000,10.190.0000000,10.280.0000000,9.830.0000000,9.830.0000000,155
LNZL,D,18/08/16,000000,9.770.0000000,10.230.0000000,9.520.0000000,10.000.0000000,224
