<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ZILL,D,06/06/16,000000,1.225.0000000,1.250.0000000,1.225.0000000,1.250.0000000,30
ZILL,D,08/06/16,000000,1.250.0000000,1.250.0000000,1.200.0000000,1.200.0000000,40
ZILL,D,10/06/16,000000,1.070.0000000,1.150.0000000,1.070.0000000,1.150.0000000,21
ZILL,D,14/06/16,000000,1.120.0000000,1.220.0000000,815.0000000,1.140.0000000,24
ZILL,D,15/06/16,000000,1.125.0000000,1.155.0000000,1.095.0000000,1.155.0000000,11
ZILL,D,16/06/16,000000,1.115.0000000,1.150.0000000,1.100.0000000,1.130.0000000,22
ZILL,D,17/06/16,000000,1.110.0000000,1.225.0000000,1.110.0000000,1.175.0000000,35
ZILL,D,20/06/16,000000,1.195.0000000,1.195.0000000,1.195.0000000,1.195.0000000,1
ZILL,D,21/06/16,000000,1.215.0000000,1.215.0000000,1.215.0000000,1.215.0000000,1
ZILL,D,22/06/16,000000,1.200.0000000,1.200.0000000,1.195.0000000,1.195.0000000,8
ZILL,D,23/06/16,000000,1.205.0000000,1.205.0000000,1.175.0000000,1.175.0000000,3
ZILL,D,24/06/16,000000,1.180.0000000,1.180.0000000,1.180.0000000,1.180.0000000,9
ZILL,D,27/06/16,000000,1.180.0000000,1.180.0000000,1.145.0000000,1.145.0000000,10
ZILL,D,28/06/16,000000,1.175.0000000,1.235.0000000,1.175.0000000,1.235.0000000,44
ZILL,D,29/06/16,000000,1.220.0000000,1.220.0000000,1.205.0000000,1.205.0000000,5
ZILL,D,30/06/16,000000,1.205.0000000,1.210.0000000,945.0000000,1.105.0000000,372
ZILL,D,01/07/16,000000,1.320.0000000,1.320.0000000,1.130.0000000,1.165.0000000,53
ZILL,D,04/07/16,000000,1.165.0000000,1.220.0000000,1.135.0000000,1.200.0000000,104
ZILL,D,05/07/16,000000,1.185.0000000,1.200.0000000,1.160.0000000,1.200.0000000,17
ZILL,D,06/07/16,000000,1.170.0000000,1.200.0000000,1.160.0000000,1.200.0000000,3
ZILL,D,07/07/16,000000,1.155.0000000,1.155.0000000,950.0000000,1.125.0000000,208
ZILL,D,08/07/16,000000,1.095.0000000,1.195.0000000,1.095.0000000,1.195.0000000,186
ZILL,D,11/07/16,000000,1.125.0000000,1.170.0000000,1.000.0000000,1.170.0000000,26
ZILL,D,12/07/16,000000,1.200.0000000,1.200.0000000,1.200.0000000,1.200.0000000,1
ZILL,D,13/07/16,000000,1.145.0000000,1.165.0000000,1.070.0000000,1.165.0000000,13
ZILL,D,14/07/16,000000,1.140.0000000,1.150.0000000,1.080.0000000,1.145.0000000,19
ZILL,D,15/07/16,000000,1.155.0000000,1.170.0000000,1.100.0000000,1.170.0000000,18
ZILL,D,18/07/16,000000,1.155.0000000,1.160.0000000,1.140.0000000,1.160.0000000,9
ZILL,D,19/07/16,000000,1.115.0000000,1.170.0000000,1.025.0000000,1.155.0000000,69
ZILL,D,20/07/16,000000,1.165.0000000,1.165.0000000,1.105.0000000,1.160.0000000,5
ZILL,D,21/07/16,000000,1.165.0000000,1.165.0000000,1.120.0000000,1.140.0000000,98
ZILL,D,22/07/16,000000,1.125.0000000,1.165.0000000,1.095.0000000,1.165.0000000,251
ZILL,D,25/07/16,000000,1.150.0000000,1.165.0000000,1.105.0000000,1.105.0000000,107
ZILL,D,26/07/16,000000,1.095.0000000,1.200.0000000,1.090.0000000,1.150.0000000,417
ZILL,D,27/07/16,000000,1.155.0000000,1.200.0000000,1.155.0000000,1.175.0000000,305
ZILL,D,28/07/16,000000,1.200.0000000,1.200.0000000,1.165.0000000,1.170.0000000,175
ZILL,D,29/07/16,000000,1.160.0000000,1.180.0000000,1.145.0000000,1.180.0000000,236
ZILL,D,01/08/16,000000,1.170.0000000,1.195.0000000,1.170.0000000,1.195.0000000,11
ZILL,D,02/08/16,000000,1.185.0000000,1.320.0000000,1.185.0000000,1.265.0000000,258
ZILL,D,03/08/16,000000,1.295.0000000,1.480.0000000,1.260.0000000,1.450.0000000,604
ZILL,D,04/08/16,000000,1.500.0000000,1.550.0000000,1.475.0000000,1.550.0000000,252
ZILL,D,05/08/16,000000,1.525.0000000,1.540.0000000,1.455.0000000,1.515.0000000,106
ZILL,D,08/08/16,000000,1.500.0000000,1.535.0000000,1.470.0000000,1.500.0000000,74
ZILL,D,09/08/16,000000,1.485.0000000,1.615.0000000,1.450.0000000,1.615.0000000,311
ZILL,D,10/08/16,000000,1.630.0000000,1.765.0000000,1.560.0000000,1.760.0000000,546
ZILL,D,11/08/16,000000,1.740.0000000,1.750.0000000,1.615.0000000,1.750.0000000,161
ZILL,D,12/08/16,000000,1.765.0000000,1.765.0000000,1.460.0000000,1.660.0000000,181
ZILL,D,15/08/16,000000,1.670.0000000,1.750.0000000,1.670.0000000,1.730.0000000,125
ZILL,D,16/08/16,000000,1.730.0000000,1.795.0000000,1.685.0000000,1.760.0000000,265
ZILL,D,17/08/16,000000,1.760.0000000,1.795.0000000,1.725.0000000,1.750.0000000,247
ZILL,D,18/08/16,000000,1.755.0000000,1.765.0000000,1.705.0000000,1.755.0000000,25
ZILL,D,19/08/16,000000,1.735.0000000,1.735.0000000,1.525.0000000,1.650.0000000,35
ZILL,D,22/08/16,000000,1.635.0000000,1.675.0000000,1.635.0000000,1.650.0000000,9
ZILL,D,23/08/16,000000,1.655.0000000,1.655.0000000,1.620.0000000,1.650.0000000,45
ZILL,D,24/08/16,000000,1.630.0000000,1.650.0000000,1.625.0000000,1.650.0000000,10
ZILL,D,25/08/16,000000,1.630.0000000,2.185.0000000,1.530.0000000,2.030.0000000,1.840
ZILL,D,26/08/16,000000,1.985.0000000,2.295.0000000,1.810.0000000,1.825.0000000,2.051
ZILL,D,29/08/16,000000,1.810.0000000,2.040.0000000,1.805.0000000,1.915.0000000,194
ZILL,D,30/08/16,000000,1.905.0000000,1.905.0000000,1.710.0000000,1.810.0000000,99
ZILL,D,31/08/16,000000,1.780.0000000,1.835.0000000,1.715.0000000,1.835.0000000,20
ZILL,D,01/09/16,000000,1.840.0000000,1.995.0000000,1.720.0000000,1.780.0000000,411
ZILL,D,02/09/16,000000,1.750.0000000,1.885.0000000,1.740.0000000,1.800.0000000,212
ZILL,D,05/09/16,000000,1.830.0000000,1.910.0000000,1.710.0000000,1.845.0000000,132
ZILL,D,06/09/16,000000,1.875.0000000,1.895.0000000,1.780.0000000,1.830.0000000,132
ZILL,D,07/09/16,000000,1.805.0000000,1.850.0000000,1.750.0000000,1.825.0000000,132
ZILL,D,08/09/16,000000,1.790.0000000,1.790.0000000,1.790.0000000,1.790.0000000,1
ZILL,D,09/09/16,000000,1.770.0000000,1.865.0000000,1.770.0000000,1.860.0000000,87
ZILL,D,12/09/16,000000,1.865.0000000,1.865.0000000,1.805.0000000,1.805.0000000,5
